Title,Author,Year,Publisher
"SMACing the Bank: How to Use Social Media, Mobility, Analytics and Cloud Technologies to Transform the Business Processes of Banks and the Banking Experience",Balaji Raghunathan,2018,Auerbach Publications;CRC Press
A Social History of the Media,Peter Burke,2020,
Dark Persuasion: A History of Brainwashing from Pavlov to Social Media,Dimsdale,2021,Yale University Press
The Networked Nonprofit: Connecting with Social Media to Drive Change,Beth Kanter,2010,
The End of Marketing: Humanizing Your Brand in the Age of Social Media,Gil,2021,Kogan Page
"Social Media Playbook for Business: Reaching Your Online Community with Twitter, Facebook, LinkedIn, and More",Tom Funk,2011,Praeger
"Social Media, Crisis Communication and Emergency Management: Leveraging Web 2.0 Technologies",Connie White,2016,CRC
Instagram als Marketing-Kanal: Die Positionierung ausgewählter Social-Media-Plattformen,Manuel Faßmann,2016,VS Verlag für Sozialwissenschaften
"The Psychology and Dynamics Behind Social Media Interactions (Advances in Psychology, Mental Health, and Behavioral Studies)",Malinda Desjarlais,2019,IGI Global
Deviance in Social Media and Social Cyber Forensics: Uncovering Hidden Relations Using Open Source Information (OSINF),Samer Al-khateeb,2019,Springer
Cases in Public Relations Management: The Rise of Social Media and Activism,Patricia Swann,2014,Routledge
"Successful Business Writing - How to Write Business Letters, Emails, Reports, Minutes and for Social Media - Improve Your English Writing and Grammar",Heather Baker,2013,Universe of Learning Ltd
"Translation and Social Media: In Theory, in Training and in Professional Practice",Renée Desjardins (auth.),2017,Palgrave Macmillan UK
The SAGE Handbook of Social Media,Jean Burgess,2018,SAGE Publications
"Hacking into Social Media Marketing: Don't succumb to their algorithm changes, Fool Proof way to gain traffic at Zero Cost",Selvan,2015,
"Social Media Marketing: Strategien für Twitter, Facebook & Co.",Tamar Weinberg,2010,O Reilly Verlag
Handbook of Social Media Management: Value Chain and Business Models in Changing Media Markets,Mike Friedrichsen,2013,Springer-Verlag Berlin Heidelberg
"Social Media for Government: A Practical Guide to Understanding, Implementing, and Managing Social Media Tools in the Public Sphere",Gohar F. Khan (auth.),2017,Springer Singapore
Understanding Social Media : How to Create a Plan for Your Business that Works,Ryan,2015,Kogan Page
Culture and economy in the age of social media,Fuchs,2015,Routledge
"BIFF: quick responses to high-conflict people, their personal attacks, hostile email and social media meltdowns",Eddy,2014,High Conflict Institute Press;Unhooked Books
301 Ways to Use Social Media To Boost Your Marketing,Catherine Parker,2010,McGraw-Hill
Strategic social media : from marketing to social change,Mahoney,2016,Wiley-Blackwell
The Qualified Self: Social Media and the Accounting of Everyday Life,Lee Humphreys,2018,The MIT Press
Instagram: Visual Social Media Cultures,Tama Leaver,2019,Polity
"Splunk Essentials: Leverage the power of Splunk to efficiently analyze machine, log, web, and social media data",Betsy Page Sigman,2015,Packt Publishing
Branding: What You Need to Know About Building a Personal Brand and Growing Your Small Business Using Social Media Marketing and Offline Guerrilla Tactics,Barlow,2020,Primasta
Crack the Social Media Sales Code: Marketing Strategy Guide to Improve Sales Acceleration Formula to Better Business,Aaron Cornwell [Cornwell,2016,
"Big Data Analytics Using Splunk: Deriving Operational Intelligence from Social Media, Machine Data, Existing Data Warehouses, and Other Real-Time Streaming Sources",Peter Zadrozny,2013,Apress
DIY Social Media Content Strategy,Astrid Haug,2015,CreateSpace Independent Publishing Platform
"How To Go Viral and Reach Millions: Top Persuasion Secrets from Social Media Superstars, Jesus, Shakespeare, Oprah, and Even Donald Trump",Joseph Romm,2018,Luminare Press
The Crowdsourced Panopticon : Conformity and Control on Social Media,Jeremy Weissman,2021,Rowman & Littlefield
"The Digital Arts and Humanities: Neogeography, Social Media and Big Data Integrations and Applications",Charles Travis,2016,Springer International Publishing
Creator Culture: An Introduction to Global Social Media Entertainment,Stuart Cunningham and David Craig,2021,New York University Press
"The New Rules of Marketing and PR: How to Use Social Media, Blogs, News Releases, Online Video, and Viral Marketing to Reach Buyers Directly, 2nd Edition",David Meerman Scott,2010,John Wiley
"How We Win: How Cutting-Edge Entrepreneurs, Political Visionaries, Enlightened Business Leaders, and Social Media Mavens Can Defeat the Extremist Threat",Farah Pandith,2019,Custom House
50 things to know to market your self-published book using social media,Joseph Young,2014,50 Things to Know
Mining Social Media: Finding Stories in Internet Data,Lam Thuy Vo,2019,No Starch Press
Social Media Management: Technologies and Strategies for Creating Business Value,Amy Van Looy (auth.),2016,Springer International Publishing
"Cyberprotest: New Media, Citizens and Social Movements",W. Van De Donk,2004,
User-Generated Content and its Impact on Branding: How Users and Communities Create and Manage Brands in Social Media,Severin Dennhardt (auth.),2014,Gabler Verlag
"Social Media in Employee Selection and Recruitment: Theory, Practice, and Current Challenges",Richard N Landers,2016,Springer International Publishing
Discourse of Twitter and social media [how we use language to create affiliation on the web],Zappavigna,2015,Bloomsbury
Professione Social Media Manager,Veronica Gentili,2020,Hoepli
A Social History of the Media: From Gutenberg to the Internet,Asa Briggs and Peter Burke,2009,Polity
Social media branding for small business : the 5-sources model : a manifesto for your branding revolution,Davis,2015,Business Expert Press
Social Media in China,Wenbo Kuang,2018,Springer Singapore;Palgrave Macmillan
Renegades write the rules : how the Digital Royalty use social media to innovate,Amy Jo Martin,2012,Jossey-Bass 
Managing Negative Word-of-Mouth on Social Media Platforms: The Effect of Hotel Management Responses on Observers’ Purchase Intention,Ines Nee (auth.),2016,Gabler Verlag
Disinformazia: La comunicazione al tempo dei social media,Francesco Nicodemo,2017,Marsilio
"Charisma: Conversation Skills, Influence, Social Skills, People Skills (Communication Skills, How To Talk To Anyone, Persuasion, How To Be Charismatic, Be Magnetic)",Gary Marshall [Marshall,2014,Pomodoro Media
"Global Chinese Cinema: The Culture and Politics of 'Hero' (Media, Culture and Social Change in Asia Series)",Gary D. Rawnsley,2010,Routledge
Social Media Measurement and Management: Entrepreneurial Digital Analytics,Jeremy Harris Lipschultz,2019,Routledge
"CRM at the Speed of Light: Social CRM 2.0 Strategies, Tools, and Techniques for Engaging Your Customers",Paul Greenberg,2009,McGraw-Hill Osborne Media
LIT: The Simple Protocol for Dental Photography in the Age of Social Media,MIGUEL A. ORTIZ,2019,QUINTESSENCE
"Social Media Marketing when you have NO CLUE!: Youtube, Instagram, Pinterest, Twitter, Facebook",Gabrielle,2017,
Follow me!: Erfolgreiches Social Media Marketing,Anne Grabs,2011,Galileo Press
"Pitch Perfect: Communicating with Traditional and Social Media for Scholars, Researchers, and Academic Leaders",William Tyson,2010,Stylus Publishing
Corporate Diversity Communication Strategy: An Insight Into American MNCs’ Online Communities And Social Media Engagement,Roxana D. Maiorescu-Murphy,2020,Palgrave Macmillan
"''Power of visual storytelling: how to use visuals, videos, and social media to market your brand''",Gioglio,2014,McGraw-Hill Global Education
Social Media Marketing: Strategie E Tecniche Per Aziende B2B E B2C,Guido Di Fraia [Fraia,2015,HOEPLI EDITORE
The media and modernity: a social theory of the media,John Brookshire Thompson,1995,Polity Press
Internet: Technik – Nutzung – Social Media,Peter Bühler,2019,Springer Berlin Heidelberg;Springer Vieweg
"Social Media, Politics and the State: Protests, Revolutions, Riots, Crime and Policing in the Age of Facebook, Twitter and YouTube",Daniel Trottier,2014,Routledge
Researching language and social media: a student guide,Barton,2014,Routledge
"Social media, organizational identity and public relations: the challenge of authenticity",Thurlow,2019,Routledge
The Teen’s Guide to Social Media... and Mobile Devices: 21 Tips to Wise Posting in an Insecure World,Jonathan McKee,2017,Shiloh Run Press
Social Media Mining: An Introduction,Zafarani R.,2014,CUP
The Representation of Islam and Muslims in the Media,Shahram Akbarzadeh,2005,School of Political and Social Inquiry of Monash University
Communication in History: Stone Age Symbols to Social Media,Peter Urquhart,2018,"Routledge, Taylor & Francis"
American Girls: Social Media and the Secret Lives of Teenagers,Sales,2016,Knopf Doubleday Publishing Group
The Simplified Guide to Social Media Marketing for Novices and Dummies,Layla Wood [Wood,2021,Independently published
Curso de Marketing Digital (SOCIAL MEDIA) (Spanish Edition),Miguel Ángel Florido,2019,ANAYA MULTIMEDIA
Deceitful Media: Artificial Intelligence and Social Life after the Turing Test,Simone Natale,2021,Oxford University Press
"SOCIAL MEDIA MARKETING AND ONLINE BUSINESS 2021: Beyond 2020! Rise to the top of the Main eCommerce Platforms Using the Most Unscrupulous and Winning Tactics of Instagram, YouTube & Facebook.",ALLAN KANE,2020,
"Filling the Void: Emotion, Capitalism and Social Media",Marcus Gilroy-Ware,2017,Repeater
"No B.S. Guide to Direct Response Social Media Marketing: The Ultimate No Holds Barred Guide to Producing Measurable, Monetizable Results with Social Media Marketing",Dan Kennedy,2015,Entrepreneur Press
"The Dark Side of Social Media: Psychological, Managerial, and Societal Perspectives",James M. Honeycutt,2019,Academic Press
"Reverse Engineering Social Media: Software, Culture, and Political Economy in New Media Capitalism",Robert W Gehl,2014,Temple University Press
42 Rules for B2B Social Media Marketing. Learn Proven Strategies and Field-Tested Tactics through Real World Success...,Michael Procopio,2012,Happy About;Super Star Press
"Making Isometric Social Real-Time Games with HTML5, CSS3, and Javascript",Mario Andres Pagella,2011,O'Reilly Media
"Praxiswissen Online-Marketing: Affiliate- und E-Mail-Marketing, Suchmaschinenmarketing, Online-Werbung, Social Media, Facebook-Werbung",Erwin Lammenett (auth.),2017,Gabler Verlag
Social Media for Business Growth: The Essential Guide to Social Media for Businesses (360 Degree Marketing for Business Growth),Scott Jones [Jones,2021,#PrB.rating#0.0
"SOCIAL MEDIA MARKETING: Guida alle strategie di vendita per online marketing su Facebook e Instagram per imparare a promuovere prodotti, infoprodotti e ... products su Internet. (Italian Edition)",Miller,,amazon
Secrets to Selling Books on Social Media: Social Media Marketing for Writers - How to Get Readers to Buy Your Book,Bethany Atazadeh & Mandi Lynn,2021,Grace House Press
How to Become Social Media Manager,JOHN JOHNSON,2021,
Protecting Children Online? Cyberbullying Policies Of Social Media Companies,Tijana Milosevic,2017,The MIT Press
"Measure What Matters: Online Tools For Understanding Customers, Social Media, Engagement, and Key Relationships",Katie Delahaye Paine,2011,Wiley
"Internet Marketing: Millionaires In The Making: Using Sh Engine Optimization, Social Media, And More To Create An Online Business",Roland,2015,CT Publishing
Media And Social Representations Of Otherness: Psycho-Social-Cultural Implications,Terri Mannarini,2020,Springer
Influencer: Building Your Personal Brand in the Age of Social Media,Brittany Hennessy,2018,Citadel Press
Social Media for Business: 101 Ways to Grow Your Business Without Wasting Your Time,Susan Sweeney CA  CSP  HoF,2010,
"Social Media: Become a Social Media Marketing Master: How to Easily Start Marketing on Facebook, Twitter, Instagram, YouTube & More",Jenkins,2016,
"Inbound marketing: get found using Google, social media, and blogs",Halligan,2014,John Wiley & Sons
Social Media Marketing: The Next Generation of Business Engagement,Dave Evans,2010,Sybex
Social Media and the Internet,Meg Greve,2013,Rourke Publishing;Rourke Educational Media
"Gadget Consciousness: Collective Thought, Will and Action in the Age of Social Media",Joss Hands,2019,Pluto Press
No B.S. Guide to Direct Response Social Media Marketing,Dan S. Kennedy,2020,Entrepreneur Press
Social Media in Politics: Case Studies on the Political Power of Social Media,Bogdan Pătruţ,2014,Springer International Publishing
"The Power of Visual Storytelling: How to Use Visuals, Videos, and Social Media to Market Your Brand",Ekaterina Walter,2014,
"Postfeminist Digital Cultures: Femininity, Social Media, and Self-Representation",Amy Shields Dobson (auth.),2015,Palgrave Macmillan US
Digital Influence Warfare in the Age of Social Media (Praeger Security International),James J. F. Forest,2021,Praeger Publishers Inc
"Social Evolution, Political Psychology, and the Media in Democracy",Beattie,2019,Palgrave Macmillan
A Woman Like Her: The Story Behind the Honor Killing of a Social Media Star,Sanam Maher,2020,Melville House
Customer Service: New Rules for a Social Media World (Que Biz-Tech),Peter Shankman,2010,Que
Graph-based social media analysis,Pitas,2016,CRC Press
ASWB Masters Exam Secrets Study Guide: ASWB Test Review for the Association of Social Work Boards Exam,ASWB Exam Secrets Test Prep Team,2014,Mometrix Media LLC
Social Media e Sentiment Analysis: L’evoluzione dei fenomeni sociali attraverso la Rete,Andrea Ceron,2014,Springer Milan
"LA BIBBIA DEL SEO: Guida pratica all'ottimizzazione strategica per Google per ottenere traffico con Web Marketing, Social Media, Copywriting Online, Ecommerce ... (Online Marketing Vol. 1) (Italian Edition)",Padovesi,,amazon
Curso Especialista en publicidad digital y embudos de venta (SOCIAL MEDIA) (Spanish Edition),Miguel Ángel Florido & Rubén Máñez & Cova Díaz & Carlos Pinzón & Antonio Ortega,2021,ANAYA MULTIMEDIA
Application of Social Media in Crisis Management: Advanced Sciences and Technologies for Security Applications,Babak Akhgar,2017,Springer International Publishing
Image Testimonies Witnessing In Times Of Social Media,Kerstin Schankweiler,2019,Routledge/
Visualizing the Data City: Social Media as a Source of Knowledge for Urban Planning and Management,Paolo Ciuccarelli,2014,Springer International Publishing
Getting a Social Media Job For Dummies,Brooks Briz,2015,Wiley
Social Media Law in a Nutshell,Ryan Garcia,2017,West Academic
Personal Relationships and Intimacy in the Age of Social Media,Cristina Miguel,2018,"Springer International Publishing,Palgrave Pivot"
Social Media Marketing: Game Theory and the Emergence of Collaboration,Eric Anderson (auth.),2010,Springer-Verlag Berlin Heidelberg
Subjective Well-Being and Social Media,S.M. Iacus & G. Porro,2022,Chapman and Hall/CRC
The Routledge companion to social media and politics,Axel Bruns (editor),2018,Routledge
Mobile and Social Media Journalism: A Practical Guide for Multimedia Journalism,Anthony Adornato,2021,Routledge
Maximize Your Social: A One-Stop Guide to Building a Social Media Strategy for Marketing and Business Success,Neal Schaffer,2013,Wiley
Building an information security awareness program : defending against social engineering hacks,Bill Gardner,2014,"Syngress Media Inc, Syngress, Elsevier Inc"
The Complete Social Media Community Manager's Guide: Essential Tools and Tactics for Business Success,Marty Weintraub,2013,Sybex
Political Turbulence: How Social Media Shape Collective Action,Helen Margetts,2015,Princeton University Press
"Text und Konzeption im Content Marketing : Alle wichtigen Grundlagen für Print, Web, Corporate Blogs und Social Media",Sandro Abbate (auth.),2017,Springer Fachmedien Wiesbaden
Social Media and e-Diplomacy in China: Scrutinizing the Power of Weibo,Ying Jiang (auth.),2017,"Palgrave Pivot, New York"
"Inbound Marketing: Get Found Using Google, Social Media, and Blogs (New Rules Social Media Series)",Brian Halligan,2009,Wiley
Why Social Media is Ruining Your Life,Katherine Ormerod,2018,Cassell Illustrated
Advertising 2.0: Social Media Marketing in a Web 2.0 World,Tracy L. Tuten,2008,Praeger
"Follow me! Erfolgreiches Social Media Marketing mit Facebook, Instagram, LinkedIn und Co.",Karim-Patrick Bannour,2021,Rheinwerk Verlag
Working the Crowd: Social Media Marketing for Business,Eileen Brown,2010,British Informatics Society Ltd
Branding Yourself: How to Use Social Media to Invent or Reinvent Yourself,Erik Deckers,2010,Que
From Corporate to Social Media: Critical Perspectives on Corporate Social Responsibility in Media and Communication Industries,Marisol Sandoval,2014,Routledge
Social media warfare : equal weapons for all,Erbschloe,2017,CRC/Taylor & Francis; Auerbach Publications
Graph-based Social Media Analysis; Volume in Chapman& Hall-CRC Data Mining and Knowledge Discovery Series – CRC-Taylor & Francis-Chapman & Hall,Pitas I.,,
"New Feminisms in South Asian Social Media, Film, and Literature: Disrupting the Discourse",Sonora Jha (editor),2017,Routledge
The Politics of Social Media Manipulation,Richard Rogers and Sabine Niederer,2020,Amsterdam University Press
Big Data and Social Media Analytics: Trending Applications,Mehmet Çakırtaş,2021,Springer
"Social Media Marketing, 3rd Edition (Quickstudy Business)",Paul & Sarah Edwards,2021,Quickstudy Reference Guides
"Optimize: How to Attract and Engage More Customers by Integrating SEO, Social Media, and Content Marketing",Lee Odden,2012,Wiley
"Sport Teams, Fans, and Twitter: The Influence of Social Media on Relationships and Branding",Brandi Watkins,2018,Lexington Books
"Programming Social Applications: Building Viral Experiences with OpenSocial, OAuth, OpenID, and Distributed Web Frameworks",Jonathan LeBlanc,2011,O'Reilly Media
Die Geheimnisse erfolgreichen YouTube-Marketings: Von YouTubern lernen und Social Media Chancen nutzen,Marc Oliver Opresnik,2016,Springer Berlin Heidelberg
"Virtual and Augmented Reality, Simulation and Serious Games for Education (Gaming Media and Social Effects)",Yiyu Cai (editor),2021,Springer
Mastering Social Media Mining with R: Extract valuable data from your social media sites and make better business decisions using R,Sharan Kumar Ravindran,2015,Packt Publishing
The End of Forgetting: Growing Up with Social Media,Kate Eichhorn,2019,Harvard University Press
"Social Media Marketing when you have NO CLUE!: Youtube, Instagram, Pinterest, Twitter, Facebook (Influencer Fast Track Series 5)",Gundi Gabrielle [Gabrielle,2017,
Ultimate Guide to Social Media Marketing,Eric Butow,2020,Entrepreneur Press
Do SEO content marketing competitor research PPC and social media marketing from just one platform,semrush,2020,semrush 
Social Media Engagement For Dummies,Aliza Sherman,2013,For Dummies
The citizen marketer : promoting political opinion in the social media age,Penney,2017,Oxford University Press
"Zehn Gründe, warum du deine Social Media Accounts sofort löschen musst (German Edition)",Jaron Lanier,2018,
Influencer: Building Your Personal Brand in the Age of Social Media,Brittany Hennessy,2018,Citadel Press
Social Media as a Space for Peace Education: The Pedagogic Potential of Online Networks,M. Ayaz Naseem,2020,Palgrave Macmillan
"How to Make Money Online 7 in 1 Box Set: Make Money Online, Social Media, Instagram, Etsy, Amazon FBA, Habit Stacking Project and Google Drive",Hunter,2016,UNKNOWN
"History, Disrupted: How Social Media and the World Wide Web Have Changed the Past",Jason Steinhauer,2021,Palgrave Macmillan
The Technology of Nonviolence: Social Media and Violence Prevention,Joseph G. Bock,2012,The MIT Press
"50 Digital Team-Building Games. Fast, Fun Meeting Openers, Group Activities and Adventures using Social Media,...",John Chen,2012,John Wiley & Sons;Wiley
"2011 Social Media Directory: The Ultimate Guide to Facebook, Twitter, and LinkedIn Resources",Jeffery A. Riley,2010,Que Publishing
Der Social-Media-Zyklus: Schritt für Schritt zum systematischen Social-Media-Management im Unternehmen,Alexander Decker,2019,"Springer Fachmedien Wiesbaden,Springer Gabler"
The Public and Their Platforms: Public Sociology in an Era of Social Media,Mark Carrigan and Lambros Fatsis,2021,Bristol University Press
Abenteuer Informatik: IT zum Anfassen für alle von 9 bis 99 – vom Navi bis Social Media,Jens Gallenbacher (auth.),2017,Springer-Verlag Berlin Heidelberg
"Mining the Social Web: Analyzing Data from Facebook, Twitter, LinkedIn, and Other Social Media Sites",Matthew A. Russell,2011,O'Reilly Media
Critical Perspectives on Social Media and Protest: Between Control and Emancipation,Lina Dencik,2015,Rowman & Littlefield International
"Social Media Law for Business: A Practical Guide for Using Facebook, Twitter, Google +, and Blogs Without Stepping on Legal Land Mines",Glen Gilmore,2015,McGraw-Hill
"The New Rules of Marketing & PR : How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly",David Meerman Scott,2011,John Wiley & Sons
L'Histoire est une littérature contemporaine . Manifeste pour les sciences sociales: Manifeste pour les sciences sociales,Ivan Jablonka,2014,Média Diffusion
Digital Dilemmas: Exploring Social Media Ethics In Organizations,Øyvind Kvalnes,2020,Palgrave Macmillan
"Wanghong as Social Media Entertainment in China (Palgrave Studies in Globalization, Culture and Society)",David Craig,2021,Palgrave Macmillan
Digital Activism in the Social Media Era: Critical Reflections on Emerging Trends in Sub-Saharan Africa,Bruce Mutsvairo (eds.),2016,Palgrave Macmillan
Influencer-Marketing: Informationspflichten bei Werbung durch Meinungsführer in Social Media,Peter J. Fries,2019,Springer Fachmedien Wiesbaden
"The Social Media Bible: Tactics, Tools, and Strategies for Business Success",Lon Safko,2009,Wiley
Social Media and Local Governments: Theory and Practice,Mehmet Zahid Sobaci (eds.),2016,Springer International Publishing
New Money: How Payment Became Social Media,Lana Swartz,2020,Yale University Press
"Make Money Online: Fiverr: Complete Step-by-Step Guide to Make a Full Time Income! (How To Make Money Online, Quit Your Job, Entrepreneur, Internet Marketing, Social Media Marketing, Passive Income)",Andrew Flynn [Flynn,2016,
Social Media Campaigns: Strategies for Public Relations and Marketing,Carolyn Mae Kim,2020,Routledge
Mastering social media mining with python : acquire and analyze data from all corners of the social web with Python,Marco Bonzanini,2016,Packt Publishing
B2B-Online-Marketing und Social Media: Ein Praxisleitfaden,Ralf T. Kreutzer,2015,Gabler Verlag
The Linked Photographers' Guide to Online Marketing and Social Media,Lindsay Renee Adler,2010,
Leave Your Mark: Land Your Dream Job. Kill It in Your Career. Rock Social Media.,Kerpen,2018,Grand Central Publishing
RussiaGate and Propaganda: Disinformation in the Age of Social Media,Oliver Boyd-Barrett,2019,Routledge
Digital Trust: Social Media Strategies to Increase Trust and Engage Customers,Barry Connolly,2020,Bloomsbury Business
Human-Centered Social Media Analytics,Yun Fu (eds.),2014,Springer International Publishing
Social Media Entertainment: The New Intersection of Hollywood and Silicon Valley (Postmillennial Pop),Stuart Cunningham,2019,NYU Press
"''Power of visual storytelling: how to use visuals, videos, and social media to market your brand''",Gioglio,2014,McGraw-Hill Education
Hallyu 2.0: The Korean Wave in the Age of Social Media,Sangjoon Lee and Abé Mark Nornes,2015,University of Michigan Press
Unlike Us Reader: Social Media Monopolies and Their Alternatives,Geert Lovink and Miriam Rasch,2013,Institute of Network Cultures
Social Media Strategy in Policing: From Cultural Intelligence to Community Policing,Babak Akhgar,2019,Springer International Publishing
Mining the Social Web,Mikhail Klassen,2019,"O'Reilly Media, Inc."
"Social Theory: After The Internet Media, Technology, And Globalization",Ralph Schroeder,2018,UCL Press
Social Media Metrics: How to Measure and Optimize Your Marketing Investment (New Rules Social Media Series),Jim Sterne,2010,Wiley
"Emotions, Technology, and Social Media",Sharon Tettegah,2016,Academic Press
Social Media for Trainers: Techniques for Enhancing and Extending Learning,Jane Bozarth,2010,Pfeiffer
Social Media for Writers: Marketing Strategies for Building Your Audience and Selling Books,Tee Morris,2015,Writers Digest Books
Inhuman Networks: Social Media and the Archaeology of Connection,Grant Bollmer,2016,Bloomsbury
Share This: the Social Media Handbook for PR Professionals,CIPR (Chartered Institute of Public Relations),2012,Wiley
"Social Media 101: Awakening the Dinosaur: How to Use Social Media Platforms. Where, What, and How... A Beginner’s Guide",Daniel Zane Bryan [Bryan,2021,
"Designing Social Interfaces: Principles, Patterns, and Practices for Improving the User Experience",Christian Crumlish,2014,O'Reilly Media
Social Media Marketing: Manuale di comunicazione aziendale 2.0 (Italian Edition),Fraia,2012,Hoepli
Tell Me About Yourself: Personal Branding and Social Media Recruiting in the Brave New Online World,Stavros Papakonstantinidis,2018,Business Expert Press
"The impact of social media on the Arab uprisings: The Facebook, Twitter, and YouTube revolutions?",Norris Pippa.,,
Create And Be Seen: A complete guide to Social Media Marketing,Marlize Marais,2021,National Library of South Africa
Putting the Public Back in Public Relations: How Social Media Is Reinventing the Aging Business of PR,Brian Solis,2009,FT Press
"Business Models for the Social Mobile Cloud: Transform Your Business Using Social Media, Mobile Internet, and Cloud Computing",Ted Shelton(auth.),2013,Wiley
"The Rise of the Social Sciences and the Formation of Modernity: Conceptual Change in Context, 1750–1850",Johan Heilbron,1998,Springer Science+Business Media Dordrecht
"How Algorithms Create and Prevent Fake News: Exploring the impacts of Social Media, Deepfakes, GPT-3, and More",Noah Giansiracusa,2021,Apress
The Social Media Reader,Michael Mandiberg,2012,NYU Press
Liberation Technology Social Media and the Struggle for Democracy,Marc F. Plattner,2012,Johns Hopkins University Press
"Pain Generation: Social Media, Feminist Activism, and the Neoliberal Selfie",L. Ayu Saraswati,2021,New York University Press
"How Algorithms Create and Prevent Fake News: Exploring the Impacts of Social Media, Deepfakes, GPT-3, and More",Noah Giansiracusa,2021,Apress
"Social BOOM!: How to Master Business Social Media to Brand Yourself, Sell Yourself, Sell Your Product, Dominate Your Industry Market, Save Your Butt, ... and Grind Your Competition into the Dirt",Jeffrey Gitomer,2011,FT Press
"Television in India: Satellites, Politics and Cultural Change (Media, Culture and Social Change in Asia Series)",Nalin Mehta,2008,Routledge
Beyond Slacktivism: Political Participation on Social Media,James Dennis,2019,"Springer International Publishing,Palgrave Macmillan"
Social Media 101: Tactics and Tips to Develop Your Business Online,Chris Brogan,2010,
"Erfolgreiches Social Media Marketing: Konzepte, Maßnahmen und Praxisbeispiele",Michael Ceyp,2013,Gabler Verlag
"Pioneers of Digital: Success Stories from Leaders in Advertising, Marketing, Search and Social Media",Paul Springer,2012,Kogan Page
Médias et société - la perspective de la communication sociale,Jason Luckerhoff,2016,Presses de l'Université du Québec
"No B.S. Guide to Direct Response Social Media Marketing: The Ultimate No Holds Barred Guide to Producing Measurable, Monetizable Results with Social Media Marketing",Dan S. Kennedy,2015,Entrepreneur Press
Socialnomics: How Social Media Transforms the Way We Live and Do Business,Erik Qualman,2009,Wiley
Interactive Multimedia Learning: Using Social Media for Peer Education in Single-Player Educational Games,Johannes Konert (auth.),2015,Springer International Publishing
Social Media: Usage and Impact,Hana S. Noor Al-Deen,2011,Lexington Books
"Content Nation: Surviving and Thriving as Social Media Changes Our Work, Our Lives, and Our Future",John Blossom,2009,Wiley
"Embracing Technology: Get Tech-Savvy by Learning About Your Computer, Smartphone, Internet, and Social Media Applications (English Edition)",Grover,2021,BPB Publications
The Dark Side of Social Media: A Consumer Psychology Perspective,Angeline Close Scheinbaum (editor),2017,Routledge
The Power of Real-Time Social Media Marketing: How to Attract and Retain Customers and Grow the Bottom Line in the Globally Connected World,Beverly Macy,2010,McGraw-Hill
"Social media hacking: Hack Facebook,what's app,instagram,twitter accounts",Shekhar mishra,2018,
New Korean Wave: Transnational Cultural Power in the Age of Social Media,Dal Yong Jin,2016,University of Illinois Press
"Advanced Social Media Marketing: How to Lead, Launch, and Manage a Successful Social Media Program",Tom Funk (auth.),2013,Apress
"Social media hacking: Hack Facebook,what's app,instagram,twitter accounts",Shekhar mishra,2018,
A Therapist's Guide to Treating Eating Disorders in a Social Media Age,Shauna Frisbie,2020,W. W. Norton & Company
"I'm a Therapist, and My Patient is a Vegan Terrorist: 6 Deadly Social Media Influencers",Dr. Harper,2020,
Big Data Analytics in Cognitive Social Media and Literary Texts: Theory and Praxis,Sanjiv Sharma,2021,Springer
Social Media Generation in Urban China: A Study of Social Media Use and Addiction among Adolescents,Hanyun Huang (auth.),2014,Springer-Verlag Berlin Heidelberg
Breeding His Social Media Slut Daughter,Zee DeeDee,,I Luv SmutBux
Museum Communication and Social Media: The Connected Museum,Kirsten Drotner,2013,Routledge
"Modern Marketing Resh: Maximizing Your Modern Marketing Skills, Making More Money, SEO, Social Media, Internet Marketing",Odame,2015,FreniQ Books
Analyzing Social Media Networks with NodeXL: Insights from a Connected World,Derek Hansen,2010,Morgan Kaufmann
Critical Theory and Social Media: Between Emancipation and Commodification,Thomas  Allmer,2015,Routledge
Ideology and the Image: Social Representation in the Cinema and Other Media,Bill Nichols,1981,Indiana University Press
Algorithmic Desire: Toward a New Structuralist Theory of Social Media,Matthew Flisfeder,2021,Northwestern University Press
Social Media Marketing Workbook: How to Use Social Media for Business,Jason McDonald,2018,CreateSpace Independent Publishing Platform
Automatic Detection of Irony: Opinion Mining in Microblogs and Social Media,Jihen Karoui,2019,Wiley-ISTE
The Limitations of Social Media Feminism: No Space of Our Own,Jessica Megarry,2020,Palgrave Macmillan
Influence: How Social Media Influencers Are Shaping Our Digital Future,Sara McCorquodale,2019,Bloomsbury Publishing
"i-Minds: How Cell Phones, Computers, Gaming, and Social Media are Changing our Brains, our Behavior, and the Evolution of our Species",Mari Swingle,2016,New Society Publishers
The Right People: The Social Establishment in America,Birmingham,2015,Open Road Media
Social Media and Electronic Commerce Law,Alan Davidson,2016,Cambridge University Press
"The New Rules of Marketing & PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly",David Meerman Scott,2013,Wiley
"Media Effects and Beyond: Culture, Socialization and Lifestyles",Karl Erik Rosengren,1994,Routledge
"The Everything Guide to Understanding Socialism: The political, social, and economic concepts behind this complex theory (Everything Series)",Pamela Toler,2011,Adams Media
The PayPal Official Insider Guide to Selling with Social Media: Make money through viral marketing,Brian Proffitt,2011,Peachpit Press
